"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Ian Kennedy","Royals","3","9","0","22","22","119.2","7.90","3.01","1.50",".298","72.5 %","29.9 %","12.5 %","4.66","4.61","4.64","1.0","6986"
"Alex Colome","- - -","7","5","12","70","0","68.0","9.53","2.78","0.93",".291","77.9 %","46.2 %","12.7 %","3.04","3.44","3.44","1.0","6661"
"Kyle Crick","Pirates","3","2","2","64","0","60.1","9.70","3.43","0.45",".268","80.5 %","39.9 %","5.5 %","2.39","3.14","4.00","0.9","13182"
"Domingo German","Yankees","2","6","0","21","14","85.2","10.72","3.47","1.58",".300","65.3 %","37.4 %","15.8 %","5.57","4.39","3.94","0.9","17149"
"Wade Davis","Rockies","3","6","43","69","0","65.1","10.74","3.58","1.10",".238","66.9 %","41.6 %","12.9 %","4.13","3.65","3.63","0.9","7441"
"Frankie Montas","Athletics","5","4","0","13","11","65.0","5.95","2.91","0.69",".325","70.0 %","43.7 %","7.5 %","3.88","3.90","4.60","0.9","14309"
"Brett Anderson","Athletics","4","5","0","17","17","80.1","5.27","1.46","1.12",".307","69.2 %","55.6 %","15.2 %","4.48","4.17","3.91","0.9","8223"
"Matt Strahm","Padres","3","4","0","41","5","61.1","10.13","3.08","0.88",".226","86.1 %","34.9 %","9.2 %","2.05","3.36","3.84","0.9","13799"
"Jordan Zimmermann","Tigers","7","8","0","25","25","131.1","7.61","1.78","1.92",".288","71.4 %","35.0 %","15.7 %","4.52","4.88","4.35","0.9","4505"
"Sam Gaviglio","Blue Jays","3","10","0","26","24","123.2","7.64","2.77","1.53",".313","68.8 %","48.9 %","16.7 %","5.31","4.69","4.16","0.9","12778"
"James Shields","White Sox","7","16","0","34","33","204.2","6.77","3.43","1.50",".262","70.6 %","35.2 %","12.7 %","4.53","5.09","5.09","0.8","7059"
"Eric Lauer","Padres","6","7","0","23","23","112.0","8.04","3.70","1.21",".332","74.7 %","37.6 %","12.7 %","4.34","4.51","4.51","0.8","19316"
"Jason Hammel","Royals","4","14","0","39","18","127.0","6.52","2.76","1.28",".348","64.4 %","37.1 %","10.3 %","6.02","4.55","4.98","0.8","4538"
"Ty Blach","Giants","6","7","0","47","13","118.2","5.69","3.11","0.61",".323","69.0 %","54.0 %","9.1 %","4.25","3.84","4.18","0.8","14361"
"Alex Claudio","Rangers","4","2","1","66","1","68.1","5.40","1.71","0.53",".366","71.0 %","60.9 %","10.5 %","4.48","3.42","3.58","0.8","12890"
"Michael Wacha","Cardinals","8","2","0","15","15","84.1","7.58","3.84","0.96",".249","75.0 %","43.2 %","13.6 %","3.20","4.22","4.12","0.8","14078"
